date,year,newConfirm,newSuspect,newImportedCase,newInfect,newRecovered,newDeath,nowConfirm,totalConfirm,totalRecovered,totalDeath,totalImportedCase
04.05,2022,2263,0,32,19199,3357,87,280083,490130,196207,13840,17737
04.06,2022,2097,4,39,21784,2420,111,279649,492227,198627,13951,17776
04.07,2022,3096,4,36,22648,3358,97,279290,495323,201985,14048,17812
04.08,,,,,,,,277812,497437,205491,14134,17828
04.09,2022,2049,0,33,25111,3491,63,276307,499486,208982,14197,17861
04.10,2022,2009,0,20,26411,2256,65,275995,501495,211238,14262,17881
04.11,2022,2097,0,21,23387,2554,65,275972,503565,213274,14319,17902
04.12,2022,3048,0,13,26525,3468,116,275055,505815,216382,14378,17915
04.13,2022,4009,0,21,26391,3568,62,275434,509824,219950,14440,17936
04.14,2022,4547,1,14,20782,2937,54,276990,514371,222887,14494,17950
04.15,2022,5451,0,29,20895,4529,67,277854,519822,227416,14561,17979
04.16,2022,4944,0,25,22626,2408,41,280340,524766,229824,14602,18004
04.17,2022,4305,0,19,20718,2284,32,282329,529071,232108,14634,18023
04.18,2022,5186,0,19,18284,2320,27,285168,534257,234428,14661,18042
04.19,2022,4582,1,8,17166,2962,26,286762,538839,237390,14687,18050
04.20,2022,5616,0,11,16617,3056,18,289302,544455,240448,14705,18061
04.21,2022,5309,0,14,16465,2387,37,292187,549764,242835,14742,18075
04.22,2022,7030,0,17,21423,3371,27,295819,556794,246206,14769,18092
04.23,2022,23314,0,14,20285,2904,48,316181,580108,249110,14817,18106
04.24,2022,8923,0,14,17581,3151,64,321889,589031,252261,14881,18120
04.25,2022,7259,0,15,15889,2385,70,326693,586290,254646,14951,18135
04.26,2022,8251,0,6,12474,-6587,55,341476,604541,248059,15006,18141
04.27,2022,10561,0,9,9864,2935,57,349045,615102,250994,15063,18150
04.28,2022,18157,0,13,10029,3165,69,364189,633259,253948,15122,18163
04.29,2022,13842,0,14,9369,3639,47,374701,647101,257218,15182,18177
04.30,2022,16121,0,4,7409,3635,51,387136,663222,260853,15233,18181
05.01,2022,17973,0,4,7409,4850,45,400434,681214,265672,15265,18200
05.02,2022,18285,1,16,5690,4428,28,414177,699499,270021,15301,18216
05.03,2022,23603,0,9,5136,2167,28,435585,723102,272188,15329,18225
05.04,2022,28951,0,13,4740,2287,21,462228,752053,274475,15350,18238
05.05,2022,30473,0,18,4340,1745,22,490934,782526,276220,15372,18256
