,date,newConfirm,nowConfirm,totalConfirm,newRecovered,totalRecovered
0,04.05,2263.0,280083,490130,3357.0,196207
1,04.06,2097.0,279649,492227,2420.0,198627
2,04.07,3096.0,279290,495323,3358.0,201985
3,04.08,3096.0,277812,497437,3358.0,205491
4,04.09,2049.0,276307,499486,3491.0,208982
5,04.10,2009.0,275995,501495,2256.0,211238
6,04.11,2097.0,275972,503565,2554.0,213274
7,04.12,3048.0,275055,505815,3468.0,216382
8,04.13,4009.0,275434,509824,3568.0,219950
9,04.14,4547.0,276990,514371,2937.0,222887
10,04.15,5451.0,277854,519822,4529.0,227416
11,04.16,4944.0,280340,524766,2408.0,229824
12,04.17,4305.0,282329,529071,2284.0,232108
13,04.18,5186.0,285168,534257,2320.0,234428
14,04.19,4582.0,286762,538839,2962.0,237390
15,04.20,5616.0,289302,544455,3056.0,240448
16,04.21,5309.0,292187,549764,2387.0,242835
17,04.22,7030.0,295819,556794,3371.0,246206
18,04.23,23314.0,316181,580108,2904.0,249110
19,04.24,8923.0,321889,589031,3151.0,252261
20,04.25,7259.0,326693,586290,2385.0,254646
21,04.26,8251.0,341476,604541,0.0,248059
22,04.27,10561.0,349045,615102,2935.0,250994
23,04.28,18157.0,364189,633259,3165.0,253948
24,04.29,13842.0,374701,647101,3639.0,257218
25,04.30,16121.0,387136,663222,3635.0,260853
26,05.01,17973.0,400434,681214,4850.0,265672
27,05.02,18285.0,414177,699499,4428.0,270021
28,05.03,23603.0,435585,723102,2167.0,272188
29,05.04,28951.0,462228,752053,2287.0,274475
30,05.05,30473.0,490934,782526,1745.0,276220
